source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,assay_description
Tox21,off-target-safety,674,CNC,CNC,C2H7N,45.08,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,679,CS(=O)C,CS(=O)C,C2H6OS,78.14,,,AC50,uM,0.0,3.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,681,C1=CC(=C(C=C1CCN)O)O,C1=CC(=C(C=C1CCN)O)O,C8H11NO2,153.18,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,700,C(CO)N,C(CO)N,C2H7NO,61.08,,,AC50,uM,0.0,3.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,701,CCOC(=O)C(C)C(=O)C,CCOC(=O)C(C)C(=O)C,C7H12O3,144.17,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,702,CCO,CCO,C2H6O,46.07,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,712,C=O,C=O,CH2O,30.026,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,713,C(=O)N,C(=O)N,CH3NO,45.041,,,AC50,uM,0.0,7.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,C6H6Cl6,290.8,1.0,34.6654,AC50,uM,7.0,26.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,743,C(CC(=O)O)CC(=O)O,C(CC(=O)O)CC(=O)O,C5H8O4,132.11,0.0,,AC50,uM,0.0,8.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,750,C(C(=O)O)N,C(C(=O)O)N,C2H5NO2,75.07,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
