source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,potency_um,cytotox_median_um,cytotox_lower_bound_um,nhit,ntested,dtxsid,casrn,name,assay_description
ToxCast,off-target-safety,23685176,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)[O-])C.[Na+],CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)[O-])C.[Na+],C20H22N5NaO6S,483.5,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID6045581,37091-65-9,Azlocillin sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23688977,C1C(=C(N2C(S1)C(C2=O)NC(=O)CN3C=NN=N3)C(=O)[O-])CSC4=NN=CS4.[Na+],C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CN3C=NN=N3)C(=O)[O-])CSC4=NN=CS4.[Na+],C13H11N8NaO4S3,462.5,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID1048594,41136-22-5,Ceftezole sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23688987,[Li+].C1=C(C=C(C=C1C(=O)[O-])S(=O)(=O)O)C(=O)O,[Li+].C1=C(C=C(C=C1C(=O)[O-])S(=O)(=O)O)C(=O)O,C8H5LiO7S,252.2,0,1000.0,burst_median_AC50,uM,0,67,1000.0,1000.0,1000.0,0,67,DTXSID5044819,46728-75-0,Lithium 3-carboxy-5-sulfobenzoate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23689980,C(O)S(=O)[O-].[Na+],C(O)S(=O)[O-].[Na+],CH3NaO3S,118.09,0,1000.0,burst_median_AC50,uM,0,65,1000.0,1000.0,1000.0,0,65,DTXSID7027120,149-44-0,Sodium hydroxymethanesulfinate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23690430,C12=C(NC(=O)NC1=O)N=C(N2)[O-].[Na+],C12=C(NC(=O)NC1=O)N=C(N2)[O-].[Na+],C5H3N4NaO3,190.09,0,1000.0,burst_median_AC50,uM,0,59,1000.0,1000.0,1000.0,0,59,DTXSID8046828,1198-77-2,Monosodium urate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23690437,CCOC(=S)[S-].[Na+],CCOC(=S)[S-].[Na+],C3H5NaOS2,144.2,1,20.5945417604661,burst_median_AC50,uM,19,67,20.5945417604661,20.5945417604661,3.65978343045842,19,67,DTXSID1044801,140-90-9,SEX,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23690996,C=CCS(=O)(=O)[O-].[Na+],C=CCS(=O)(=O)[O-].[Na+],C3H5NaO3S,144.13,0,1000.0,burst_median_AC50,uM,0,70,1000.0,1000.0,1000.0,0,70,DTXSID3041451,2495-39-8,"2-Propene-1-sulfonic acid, sodium salt","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23691974,CC1=CC(=C(C=C1)C)S(=O)(=O)[O-].[Na+],CC1=CC(=C(C=C1)C)S(=O)(=O)[O-].[Na+],C8H9NaO3S,208.21,0,1000.0,burst_median_AC50,uM,0,69,1000.0,1000.0,1000.0,0,69,DTXSID5044578,827-19-0,"Sodium 2,5-dimethylbenzenesulfonate","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23695324,C1C(=NN(C1=O)C2=CC=C(C=C2)S(=O)(=O)O)C(=O)[O-].[Na+],C1C(=NN(C1=O)C2=CC=C(C=C2)S(=O)(=O)O)C(=O)[O-].[Na+],C10H7N2NaO6S,306.23,0,1000.0,burst_median_AC50,uM,0,69,1000.0,1000.0,1000.0,0,69,DTXSID2044684,52126-51-9,"Sodium 5-oxo-1-(4-sulfophenyl)-4,5-dihydro-1H-pyrazole-3-carboxylate","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23695982,C1=CC=C2C(=C1)N=C3C(=CC(=O)C4=C3C(=O)C=C(N4)C(=O)[O-])O2.[Na+],C1=CC=C2C(=C1)N=C3C(=CC(=O)C4=C3C(=O)C=C(N4)C(=O)[O-])O2.[Na+],C16H7N2NaO5,330.23,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID1046637,51410-30-1,Pirenoxine sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
